"name","latitude","longitude","RestaurantsDelivery","WiFi","WheelchairAccessible","HappyHour","total_comments","average_rating"
"Muscle Maker Grill",40.078208,-75.02719,"","","","",97,2.5
"Musi",39.9263001984,-75.1474352181,"","","","",53,4.5
"NBC Sports Arena",39.9042986,-75.1694047,"","","","",51,3.5
"National Mechanics",39.9495443,-75.1459872,"","","","",896,4
"New Deck Tavern",39.9535171,-75.1926364399,"","","","",425,3.5
"New London Pizza & Restaurant",40.0362638,-75.0424394,"","","","",23,2.5
"New Olympia House",40.0507833,-75.066764,"False","u'no'","","True",69,3.5
"New Station Pizza",40.0261752089,-75.0431555885,"","","","",13,3
"New Tavern Bar",39.9542243,-75.212136,"","","","",10,4
"New Town Restaurant",39.9600207,-75.1534664,"","","","",25,4.5
"New Wave Cafe",39.9380675,-75.1485297,"","","","",237,3.5
"Newmans Grill",40.0388462,-75.1776332,"","","","",11,2.5
"Nick's Bar and Grille",39.9495571,-75.1439805,"","","","",182,4
"Nick's Roast Beef",40.048536,-75.06233,"","u'no'","","",133,3
"Nick's Roast Beef",40.083729,-74.9661299,"True","","","",43,2
"Nifty Fifty's Fishtown",39.9738884555,-75.1206322589,"True","'free'","","True",24,3
"Night Owls Fast Food",39.9348377485,-75.1916793432,"","","","",72,3
"Nineteen 26",39.9530355,-75.1620625,"","","","",16,3
"Noir Restaurant & Bar",39.9263049,-75.167423,"","","","",159,4
"Noobar",39.875104,-75.243642,"","","","",48,3
"Noord",39.92966,-75.163003,"","u'free'","True","",409,4.5
"Nora's Kitchen",39.9412618963,-75.1473250317,"","","","",168,4.5
"North Bowl",39.9644125073,-75.1403277254,"False","'no'","","",498,4
"North Third",39.96350593,-75.1427820977,"","","","",710,4
"Not Just Pizza",39.9213449,-75.1651519,"","","","",105,2.5
"OG Pizza",39.9835263378,-75.1258263442,"","u'no'","","",148,4
"Ocean Prime",39.9501744,-75.1659335862,"","","","",543,4
"Olly",39.9408776,-75.1511064,"True","","True","",52,4
"On Charcoal",40.0413179,-75.076034,"","","","",18,2.5
"On Point Bistro",39.93725004,-75.1771098375,"","","","",248,4.5
"One Pound Cheesesteaks",39.9895823,-75.125543,"","","","",52,3.5
"One Shot Coffee",39.9677290083,-75.1406717064,"","","","",519,4
"Oregon Express",39.9161098,-75.1671811,"","","","",18,4.5
"Original 13 Ciderworks",39.9745975872,-75.1402150467,"","","","",65,4.5
"P. J. Clarke's",39.948294,-75.1519511,"","","","",139,4
"PBR Philly",39.9042894,-75.1694047,"","","","",42,3
"Paddy Whacks Irish Sports Pub - Welsh Road",40.0745680732,-75.0316823839,"True","'no'","","",48,3
"Paddy's Old City Pub",39.9537271,-75.1439691,"","","","",117,3.5
"Panasian Buffet",40.0308845266,-75.1041150063,"","u'free'","","",72,3.5
"Paprika Restaurant",40.0178826,-75.1546635,"","","","",75,3.5
"Parada Maimon",39.9590025431,-75.1582302558,"","","","",207,4.5
"Paradise Diner",39.968717,-75.1365009,"","","","",44,4.5
"Parc",39.9491724,-75.1707273,"True","u'free'","","",2884,4
"Parkside Beef & Ale",39.9548176,-75.1645795,"","","","",35,3
"Parkway Corner Deli",39.9639216,-75.1751039,"True","u'free'","","",84,4
"Pat's King of Steaks",39.9332010583,-75.159265814,"","","","",4293,3
"Pazzo Pazzo",39.9791026041,-75.1616665689,"","","","",54,2.5
"Pearl's Oyster Bar",39.953298,-75.159071,"","","","",305,4
"Peking Inn",39.94846,-75.221493,"","","","",11,4.5
"Pelicana chicken",39.9515319,-75.2033034,"","","","",89,3.5
"Penn's Port Pub",39.9224306,-75.142895,"","","","",15,4.5
"Perkins Restaurant & Bakery",40.0869513242,-75.0390484929,"","","","",62,3
"Perla",39.929905,-75.1629415813,"","","","",219,4.5
"Philadelphia Museum of Art",39.965573,-75.180969,"True","u'no'","True","",778,4.5
"Philadium",39.9126266,-75.1764034,"","","","",25,4
"Philly Fry Truck",39.9350642,-75.1516194,"","","","",13,4
"Philly Steak & Gyro",39.874920347,-75.2412520904,"","","","",58,2.5
"Philly Steak & Gyro",39.8749972814,-75.2413466363,"","","","",12,2.5
"Philly Tacos",39.9343559,-75.1777433,"","","","",86,4.5
"Philly's Platinum Grille",40.0727911933,-75.1949470435,"","","","",62,2.5
"Pitchers Pub",40.0250055,-75.2230546,"","","","",91,3.5
"Pitruco Pizza Franklin's Table",39.9529913,-75.1922872,"False","u'free'","True","True",11,4.5
"Pizzeria L'Angolo",40.0224642,-75.2183357,"True","'no'","","True",35,4.5
"Poe's Sandwich Joint",39.9773029,-75.1436018,"","","","",124,4
"Pom Pom",39.9729781261,-75.1338146254,"","","","",10,4.5
"Popeyes Louisiana Kitchen",39.9023035,-75.242038,"","","","",20,2
"Popeyes Louisiana Kitchen",39.912518,-75.149818,"","","","",12,2.5
"Popeyes Louisiana Kitchen",39.924743,-75.1690735,"","","","",20,3
"Popeyes Louisiana Kitchen",39.9382715655,-75.2156104577,"","","","",22,1.5
"Popeyes Louisiana Kitchen",39.940632,-75.166651,"","","","",36,2.5
"Popeyes Louisiana Kitchen",39.9510830684,-75.1663314987,"","","","",53,2
"Popeyes Louisiana Kitchen",39.9804117,-75.2340528,"","","","",10,1.5
"Popeyes Louisiana Kitchen",39.992755,-75.097634,"","","","",13,2
"Popeyes Louisiana Kitchen",40.0443567742,-75.23186,"","u'free'","True","",41,2
"Popeyes Louisiana Kitchen",40.0478979468,-75.0584631691,"True","u'free'","","False",13,2
"Popeyes Louisiana Kitchen",40.0791915023,-75.027881,"","","","",50,2
"Popeyes Louisiana Kitchen",40.0810229,-75.170115,"","","","",16,1.5
"Popi's Italian Restaurant",39.9115964464,-75.1826359382,"False","'no'","","True",154,3.5
"Porky's Point Restaurant",40.0096965,-75.1365387,"False","u'no'","","",37,4
"Pretty Girls Cook",39.9699452213,-75.1475351472,"","","","",151,4
"Prohibition Taproom",39.9613018,-75.1593118,"None","","","",638,4
"Pub & Kitchen",39.9456566,-75.1747733,"","","","",655,3.5
"Pub Webb",39.9791353607,-75.160534073,"","","","",65,4
"Pumpkin",39.9444366,-75.1708063,"","","","",442,4
"Punch Line Philly",39.965141,-75.135429,"","","","",279,3.5
"Pupuseria Sabor Latino II",40.0100159853,-75.0983244372,"","","","",14,5
"Puyero Venezuelan Flavor",39.9419625269,-75.1492561027,"","","","",172,4.5
"Quetzally",39.9416062,-75.163026,"","","","",249,4
"Race Street Cafe",39.9537127,-75.1434447561,"True","u'free'","True","False",328,4
"Rachael's Nosheri",39.951262,-75.172332,"","","","",139,3.5
"Real Food Eatery",39.9493695,-75.1675666,"","","","",286,4.5
"Real Food Eatery",39.9529111355,-75.1690678907,"","","","",27,4.5
"Reale's Restaurant & Bar",40.0361944,-75.0412414,"False","'no'","","False",63,3.5
"Red Lobster",40.075949,-75.034346,"","","","",122,2
"Red Owl Tavern",39.9492805,-75.1489288,"True","'free'","","",629,3.5
"Red Robin Diner",40.0286174763,-75.0584119806,"","","","",61,2
"Redz Bar and Grill",40.0608590409,-75.0447888735,"","","","",28,3
"Reef Restaurant & Lounge",39.9411616,-75.147401,"","","","",191,3
"Revolution House",39.9497082,-75.1439349,"","","True","",568,3.5
"Rex at the Royal",39.9437809,-75.1681729,"","","","",489,4.5
"Rhythm and Brunch",39.9219015059,-75.2311522532,"","","","",122,4
"River Twice",39.929741,-75.163397,"","","","",54,3.5
"Robola Pizza & Grill",39.988611,-75.227645,"","","","",37,3
"Rock N' Rolls Egg Rolls",39.9705409,-75.1577989,"True","u'no'","True","",19,4
"Roman's Pizza",40.039176,-75.223424,"","","","",43,3
"Rotten Ralph's Pub & Eatery",39.9484876,-75.1442086,"","'free'","","",23,3
"Rouge",39.949638,-75.170671,"","","","",504,3.5
"Roxborough Seafood House",40.0297696,-75.2061641,"","","","",141,3
"Royal Boucherie",39.9487583,-75.1440827,"True","","","",235,4
"Ruby Tuesday",39.8877891,-75.2470401,"","","","",173,2.5
"Ruth's Chris Steak House",39.9529565,-75.1702986,"","","","",192,3.5
"Rybrew",39.974214,-75.182504,"","'free'","True","True",215,4.5
"SOMO Manayunk",40.0250874,-75.2221876,"","'free'","","",297,3.5
"SPIN - Philadelphia",39.9491828858,-75.165957,"","","","",115,4
"Sabrina's Café",39.9598792,-75.1906815,"False","u'no'","","True",852,4
"Sabrina's Café",39.9604147854,-75.1686044902,"True","'free'","","",1760,4
"Saigon Quy-Bau Restaurant",39.9433871696,-75.1642239285,"","","","",19,4
"Saint Lazarus",39.9687029,-75.1364723,"True","","","",64,4
"Saladworks",39.87642,-75.24698,"True","'no'","","",31,2.5
"Saladworks",39.9524133109,-75.1681163907,"","","","",16,2.5
"Saladworks",40.0643007751,-75.2374119507,"","","","",49,3
"Saladworks",40.0730228774,-75.0350286614,"True","u'no'","","",31,3.5
"Sampan",39.9495313759,-75.1621570259,"","","","",2076,4
"Samwhich",39.9362632,-75.2194779,"","","","",12,3
"Sardi's Pollo A La Brasa",40.0030483,-75.2219283,"","","","",354,4
"Sassafras Bar",39.948832,-75.144063,"","","","",363,4.5
"Savas",39.9583061,-75.1927263,"","","","",238,3
"Scanlon's Saloon",40.0263844,-75.2154182,"","u'paid'","True","",16,3.5
"Scarpetta",39.9498657277,-75.1733916253,"","","","",214,4
"Second District Brewing",39.9261812341,-75.1730921385,"","","","",103,4
"Shake Shack",39.9502973,-75.1601048,"","","","",66,3.5
"Shake Shack",39.9512256328,-75.1737892628,"","","","",809,3.5
"Shake Shack",39.953511,-75.18839,"","","","",225,3.5
"Silk City Diner & Lounge",39.9613271,-75.1460328,"","","","",980,4
"Sister Muhammad's Kitchen",40.022826208,-75.1590914279,"","'no'","","True",126,4
"Smiths Restaurant and Bar",39.9522486027,-75.1716919961,"False","","","",235,3
"Social House",39.9450147098,-75.1771122734,"True","'free'","True","True",13,3.5
"Sonny's Famous Steaks",39.9499178538,-75.1447920753,"None","u'free'","True","",1716,4
"Soup Kitchen Cafe",39.9798199,-75.129822,"","","","",333,4
"South Bowl",39.9142928,-75.1471501,"","","","",254,3.5
"SouthHouse",39.91804,-75.168707,"True","u'free'","True","True",165,4.5
"Southgate",39.9455687,-75.1717901,"","","","",330,4
"Southside Zabihah Halal Eatery",39.9280784,-75.2302899,"True","","","",19,4.5
"Southwark Restaurant",39.9404771,-75.1493607,"","u'free'","","",235,4
"Spasso Italian Grill",39.948706,-75.142687,"","","","",553,4
"Spice 28",39.950352,-75.1615829,"","","","",851,4
"Spirit of Philadelphia",39.9415984538,-75.1405771664,"True","u'free'","","",167,3
"Square 1682",39.9508011,-75.1686108,"","","","",401,3.5
"Square on Square",39.948333,-75.174521,"","","","",257,3.5
"SquareBurger",39.9557003985,-75.1501474668,"","","","",120,3
"Standard Tap",39.96414,-75.1405144,"","","","",820,4
"Standing O",39.948063,-75.163985,"","","","",38,3
"Stateside",39.930249,-75.163265,"","","","",368,3.5
"Station Bar & Grill",39.9258604,-75.1725846,"","","","",60,3.5
"Steak 48",39.947286,-75.165197,"","","","",141,4
"Steve's Prince of Steaks",40.0456111,-75.0609207,"","","","",494,4
"Stir",39.965847,-75.181147,"","","","",23,4.5
"Sto's Bar & Restaurant",39.9500081317,-75.1446980851,"","","","",127,3.5
"Stogie Joe's Tavern",39.927559,-75.166057,"","","","",302,3.5
"Strangelove's",39.948089,-75.1592111423,"True","","True","",455,4
"Sugar Factory",39.9501500906,-75.1610934042,"","","","",18,2
"Supreme Oasis Bakery & Deli-Philly",39.9692521,-75.2116916,"","","","",11,4
"Suraya",39.9736865005,-75.1339557767,"","","","",1157,4.5
"Sutton's",39.9771594076,-75.1436727494,"","","","",76,5
"Sweets & Curry House",40.0572043,-75.0609549,"","","","",37,3.5
"TGI Fridays",40.007927,-75.211183,"","","","",298,2
"Takka Grill & Pizza",39.9419352,-75.1502842,"","","","",23,2
"Takka Grill & Shrimpie's",40.0675197,-75.1471273,"","","","",25,2.5
"Takka Grill and Pizza",40.0296379732,-75.1810627431,"","","","",21,2.5
"Talula's Daily",39.9472825,-75.1536278,"","","","",386,4.5
"Talula's Garden",39.9473272218,-75.1535421779,"","","","",1964,4.5
"Tap Room On 19th",39.921596,-75.178679,"","","True","",188,4
"Taqueria La Hacienda",40.02202,-75.1240606,"False","","","",10,3.5
"Taste Restaurant",39.9463008,-75.1435473,"True","","","",23,3
"Tattooed Mom",39.9416802,-75.1519159,"False","'no'","","",715,4
"Tavern On Camac",39.9472463,-75.1615494,"","","","",159,4
"Tavern On the Hill",40.077194,-75.2088314,"True","","","",147,4
"Taylor's Cafe",40.034328,-75.216551,"","","","",172,4
"Tela's Market & Kitchen",39.967417,-75.168217,"True","u'free'","","",282,4
"Ten Stone Bar & Restaurant",39.9450458,-75.1769728,"","","","",308,3
"Tenth Floor Grill",39.9533368,-75.1580039,"","","","",19,4
"Texas Chicken & Burgers",40.0484281,-75.0617193,"False","'free'","","",26,3.5
"Texas Wiener",39.9632741,-75.2020952,"True","","True","False",45,4.5
"The Abbaye",39.9622476511,-75.1430036973,"","","","",319,4
"The American Pub",39.95232,-75.166485,"","","","",36,2.5
"The Bishop's Collar",39.9675571,-75.1768708,"","","","",254,3.5
"The Black Sheep Pub & Restaurant",39.9484223,-75.1692901,"False","u'no'","","True",349,3.5
"The Black Taxi",39.9687445,-75.1782273,"","","","",94,4
"The Board & Brew",39.9534403364,-75.1883720979,"","","","",19,4.5
"The Buffalo House",40.0440091,-75.0185888,"","u'free'","","",35,3.5
"The Capital Grille",39.9506134672,-75.1636080327,"","","","",650,4
"The Cheesecake Factory",39.9491039,-75.1658813,"True","","","",392,3
"The Continental Mid-town",39.9519308,-75.1704529,"","","","",1732,3.5
"The Crazy Leprechaun Bar & Grill",39.9876447657,-75.092066549,"","","","",22,3.5
"The El Bar",39.9717648,-75.1354975,"False","u'no'","False","",174,4
"The Goat Rittenhouse",39.9511749999,-75.1723914966,"","","","",18,4
"The Goat's Beard",40.0238229063,-75.2201271057,"","u'free'","","",495,4
"The Gold Standard Cafe",39.9481839,-75.2196691,"True","'no'","","",326,3
"The Grill  Smuckers",39.9532,-75.159408,"","","","",121,4.5
"The Hadley",39.9607681115,-75.1776570082,"","","","",77,4
"The Happy Rooster",39.9504391,-75.1675545,"","","","",258,3.5
"The Institute Craft Bar & Kitchen",39.9624658,-75.155683,"","'no'","","",24,4
"The Landing Restaurant",39.8891661,-75.2310534,"","","","",29,2.5
"The Love",39.9506555,-75.1708991,"","","","",635,4
"The Lunar Inn",39.9822933,-75.1031599,"","","","",29,4.5
"The Olde Bar",39.9469051201,-75.1440923726,"","","","",312,4
"The Original Turkey",39.953049478,-75.1594718185,"","","","",216,4.5
"The Restaurant at JNA Institute of Culinary Arts",39.9351965,-75.1676847,"","","","",63,4
"The Sidecar Bar & Grille",39.9418939,-75.1794584,"True","u'free'","","True",722,4
"The Tasty Toast",39.9347543,-75.1795322,"","","","",146,4
"The Tavern Restaurant",39.9473333,-75.1616774,"","","","",84,4
"The Trestle Inn",39.9588257,-75.1566756,"","","True","",208,4
"The Twisted Tail",39.9418766,-75.1451988,"True","'free'","True","",625,4
"The Wayward",39.9509148952,-75.1595963538,"","","","",95,4
"Three 12 Sport Bar and Lounge",39.9499452,-75.146352,"","","","",33,2.5
"Three Countries Pizzeria",39.9321252,-75.1723005,"","","","",43,2.5
"Three Monkeys Cafe",40.053857,-74.98396,"True","","True","",430,3.5
"Tierra Colombiana Restaurant",40.0205736,-75.1337987,"False","","","",415,4
"Tiffany Diner",40.0740183,-75.0361529,"","","","",164,2.5
"Time",39.9500001533,-75.1625513634,"","","","",571,4
"Tir na nOg Irish Pub",39.9544564822,-75.1667542796,"","","","",251,3.5
"Tommy DiNic's",39.95347837,-75.1593960603,"","","","",2245,4
"Tommy's Pizza",39.9710336,-75.1287016,"","","","",21,3
"Tony's Famous Tomato Pie",40.0284115716,-75.0590577797,"True","u'free'","True","False",119,4
"Trattoria Carina",39.9488052,-75.1779537,"","u'free'","True","",219,4.5
"Trev's Philly Steaks",40.096285,-75.017905,"","","","",84,3
"Tria Cafe Rittenhouse",39.9509483,-75.1704197,"","u'free'","","",924,4.5
"Tria Cafe Wash West",39.9466238,-75.1609139,"True","","True","",801,4.5
"Triangle Tavern",39.9323559,-75.1611077,"","","","",227,4
"Tribe Cafe",39.988268,-75.1561849,"","","","",23,3
"Trio Breakfast & Lunch",40.03145806,-75.1788476379,"","","","",37,3
"Twenty Manning",39.9486084,-75.1740323,"False","","","",439,3.5
"Twisted Indian Wraps",39.9660935124,-75.1910107337,"","'free'","","True",17,4
"U S Hotel Bar & Grill",40.026658,-75.2261204411,"","","","",101,3
"U-Bahn",39.9505038,-75.1625185,"True","u'free'","True","False",78,2.5
"Ulana's",39.9404983,-75.1462159,"True","u'no'","","",10,2.5
"Ummi Dee's burger bistro",39.9973469,-75.1669759,"","","","",15,3.5
"Union League of Philadelphia",39.949988,-75.1645963,"","","","",74,4
"Uptown Grill Breakfast",39.9609427,-75.2412374,"","","True","",10,4
"Urban Farmer Philadelphia",39.957207,-75.1699827,"","","","",609,4
"Urban Saloon",39.9670245,-75.1729544,"","","","",328,3
"Urban Shop 543",39.8878070863,-75.1779273135,"","","","",15,4
"Urban Village Brewing Co",39.9667,-75.13997,"True","'free'","","",231,4
"Valley Green Inn",40.055064914,-75.2181315422,"","","","",200,3.5
"Varga Bar",39.9462043942,-75.1577992928,"True","u'free'","True","True",632,3.5
"Vegan Commissary",39.9221978,-75.1714459,"True","","","",147,4.5
"Vernick Coffee Bar",39.955061,-75.170196,"","","","",48,4.5
"Vernick Food & Drink",39.950759,-75.1748461,"","","","",1049,4.5
"Vesper Sporting Club - Center City",39.9489408,-75.1668194,"False","u'no'","True","False",162,3.5
"Victory Beer Hall",39.9042894,-75.1694047,"","","","",60,3
"Village Whiskey",39.9514165949,-75.1737677917,"True","'no'","","",1603,4
"Vino Volo",39.8780119385,-75.2394390106,"","","","",109,3.5
"Voltage Lounge",39.9592901344,-75.1500912772,"True","'free'","","",44,3
"Volvér",39.9467935,-75.165297,"True","u'no'","True","True",156,3.5
"Wacky Zaki's",40.1055278,-75.0324753,"True","","True","",34,3
"Walnut Street Cafe",39.9522079227,-75.183563153,"","","","",260,3.5
"Waterfront Gourmet Cafe & Deli",39.9505446,-75.1393768,"","","","",35,4
"White Dog Cafe",39.9535582,-75.1929054,"","u'free'","True","",1337,4
"Winnie's Manayunk",40.024735,-75.2222673,"","","","",615,3.5
"Winthorpe & Valentine Bar & Grill",39.9519739402,-75.1680094391,"","","","",53,3
"Wishbone",39.9484184,-75.1623776,"","","","",196,3.5
"Wishbone",39.9539029,-75.204325,"","","","",199,3.5
"Woody's",39.949064,-75.16241,"","","","",334,3
"World Cafe Live",39.9520744759,-75.1851766256,"","","","",363,4
"Wrap Shack",39.9496367181,-75.1587568223,"None","'no'","True","True",93,3.5
"XIX Nineteen",39.949104,-75.164768,"True","'no'","True","False",633,3.5
"Xfinity Live! Philadelphia",39.9044484999,-75.1696318388,"","u'free'","","",368,3
"Xochitl",39.9428742,-75.1456449,"True","","","",465,3.5
"Yards Brewing Company",39.9609706195,-75.146908,"None","u'no'","","True",772,4
"Zesto Pizza & Grill",39.9546963178,-75.2023281628,"","","","",134,4
"a.bar",39.9502708009,-75.1705138959,"","","","",118,4
"a.kitchen",39.950323,-75.170538,"","","","",461,3.5
"chili's",39.9533,-75.1611,"True","'no'","","",11,1.5
"honeygrow",39.9509772093,-75.1583468263,"None","","","",84,3.5
"honeygrow",39.9537318071,-75.1978196153,"True","","","",171,3
"honeygrow",39.9784134463,-75.157349919,"","","","",49,3.5
"revive 21",39.8809167118,-75.2373865962,"None","u'no'","True","False",40,2.5
"sweetgreen",39.9540571,-75.201033,"","","","",206,3.5
